学部,学科,研究室名,所属教員,研究分野,主キャンパス,キャンパス詳細,号館・部屋,公式HP,区分,備考,口コミステータス,ID
Ⅰ類（情報系）,メディア情報学プログラム,江木 啓訓 研究室,江木 啓訓,アクティブな学習空間を情報システムで創造する／学習空間創造システム／実空間コラボレーション支援／ウェアラブルコンピューティング／情報工学,調布,,西3号館315,https://egi.inf.uec.ac.jp/,,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-01 ｜ ラボガイド更新: 2025-07-03 ｜ 本文: 人がコミュニケーションを通じて成長できるような学習空間の創造について研究しています。学習者のセンシングによる内面的な状態の推定や、ウェアラブルデバイスを用いて実空間でのコラボレーションの可視化や活性化を行う情報システムの開発に取り組んでいます。同時に、グループでの協調学習などの活動において有効性を評価するための実践を行っています。 ｜ VideoUEC: https://www.youtube.com/shorts/A5YpiZBfvH4 ｜ 画像: https://www.uec.ac.jp/arc/images/hironori_egi.jpg ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21018114.html,,1
Ⅰ類（情報系）,メディア情報学プログラム,大河原 一憲 研究室,大河原 一憲,食生活や運動から体重コントロールを科学する／身体活動／食生活／エネルギーバランス／生物学・生命科学／医用・生体工学,調布,,東1号館409,http://www.ohkawara.lab.uec.ac.jp/,,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-02 ｜ ラボガイド更新: 2025-07-03 ｜ 本文: 体重を適正に保つにはエネルギー消費量と摂取量のバランスが大切ですが、実際には、身体をよく動かし食事を控えても適正な体重を維持できるとは限りません。そこで、「日常生活活動は1日のエネルギー消費にどのくらい貢献しているのか」「基礎代謝が高い人は太りにくいのか」「1日2食と6食はどちらがいいか」など身近なテーマから体の組成や代謝などを研究し、健康的な生活習慣のあり方を探求しています。 ｜ 出張講義: Ⅰ類-1／https://docs.google.com/spreadsheets/d/1uJxsIAV9MO5RpW4ZK4avdf7bVvsVnyvn/edit?gid=905872286#gid=905872286&range=A4 ｜ 画像: https://www.uec.ac.jp/arc/images/kazunori_ohkawara.jpg ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21014201.html,,2
Ⅰ類（情報系）,メディア情報学プログラム,清 雄一 研究室,清 雄一,実世界の状況や人々の行動に応じた最適なサービス提供／エージェント／データマイニング／深層学習／強化学習／LOD／生成AI／情報科学／情報工学,調布,,西10号館729,http://www.sei.lab.uec.ac.jp,,専攻: 情報学専攻｜機械知能システム学専攻 ｜ ラボガイド番号: Ⅰ類-03(Ⅱ類-63) ｜ ラボガイド更新: 2025-10-15 ｜ 本文: エージェント技術を基盤に、膨大なデータの処理や複雑なシステムの効率化・自律化を追求する最先端の研究を進めています。特に、機械学習や生成AI、プライバシー保護、ソフトウェア工学などの最新技術を駆使し、次世代の社会基盤を支える技術の構築を目指しています。 ｜ 学生へのメッセージ: 学生の皆さんが発案する独創的で魅力的なテーマにも積極的に取り組んでいます。 ｜ 画像: https://www.uec.ac.jp/arc/images/osuga_akihiko.yuichi_sei.jpg ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21124240.html,,3
Ⅰ類（情報系）,メディア情報学プログラム,織田 健 研究室,織田 健,正しいソフトウェアの自動合成／ソフトウェア工学／形式手法／自動コード生成／情報工学／ソフトウェア／開発／アルゴリズム／プログラミング／バグ／データベース／検索技術,調布,,東3号館819,http://www.tolab.inf.uec.ac.jp/,,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-04 ｜ ラボガイド更新: 2025-07-03 ｜ 本文: ソフトウェア開発を人手と時間をかけず正確に行うための研究に取り組んでいます。例えば、プログラミングを形式手法と呼ばれる数学的手法で記述すれば、バグや欠陥を探したり修正したりする手間なしにプログラムの正しさを保証できます。さらにソフトウェアに求められている機能や性能も数学的に書けば、バグのないプログラムを自動生成できる可能性があり、研究を進めています。 ｜ 画像: https://www.uec.ac.jp/arc/images/takeshi_oda.jpg ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21124102.html,,4
Ⅰ類（情報系）,メディア情報学プログラム,柏原 昭博 研究室,柏原 昭博,新しい学習体験を提供する学習支援システムの開発／学習工学／学習支援システム／知識工学／教育工学／情報科学／情報工学,調布,,西3号館301,https://wlgate.inf.uec.ac.jp/,,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-05 ｜ ラボガイド更新: 2025-07-03 ｜ 本文: Web、タブレット、VR、ロボットなどの情報メディアを活用して、新しい学習体験を提供する支援システムの研究開発を進めています。特に、人工知能や認知科学の知見を活かし、学びのモデルデザインを通して、機械の学習にはない人間らしい学びとは何かを情報学の視点から追求しながら、より効果的・効率的に学習できる環境の実現を目指しています。 ｜ 学生へのメッセージ: 大学という知のジャングルで、自分でしっかり考える力をつけてほしいです． ｜ 夢ナビ: https://douga.yumenavi.info/Lecture/PublishDetail/2019244330?back= ｜ VideoUEC: https://www.youtube.com/watch?v=6ONLu_h60_g／https://www.youtube.com/shorts/zK8hHr2lqpU ｜ 出身地・ゆかりの地: 近畿地方 ｜ 出身地の自慢: 西宮自慢「高校野球の聖地、甲子園球場がある」 ｜ 画像: https://www.uec.ac.jp/arc/images/akihiro_kashihara.jpg ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21124102.html,,5
Ⅰ類（情報系）,メディア情報学プログラム,梶本 裕之 研究室,梶本 裕之,触覚を中心としたバーチャルリアリティシステムの開発／バーチャルリアリティ／触覚／インタフェース／情報工学／映像・光工学／医用・生体工学,調布,,西3号館406,https://kaji-lab.jp/,,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-06 ｜ ラボガイド更新: 2025-07-03 ｜ 本文: 人工的に現実と等価な環境を作り出す技術をバーチャルリアリティ（VR）と呼びます。本研究室では特に触覚を中心としたVRシステムの開発に取り組んでおり、電気刺激による感覚生起の制御、頭部圧迫による回転（ハンガー反射）の制御、ものに触れた時の皮膚変形解析など、現象の解明から応用まで幅広く研究しています。 ｜ 学生へのメッセージ: 高校生の人は基礎を大切にしましょう。特に英語と数学を磨いておきましょう。 大学１～２年の人は、授業が大変だろうと思いますが、少しでも外の世界を見てみましょう。学会を見に行ってみる、展示会に友達と連れ立って行ってみる、留学してみる、などなど。 ｜ 出張講義: https://docs.google.com/spreadsheets/d/1uJxsIAV9MO5RpW4ZK4avdf7bVvsVnyvn/edit?gid=905872286#gid=905872286&range=A5 ｜ 夢ナビ: https://yumenavi.info/vue/lecture.html?University=V&SearchMod=4&SerKbn=3&ProId=WNF026&Page=1&GNKCD=g005656&KeyWord=%E9%9B%BB%E6%B0%97%E9%80%9A%E4%BF%A1%E5%A4%A7%E5%AD%A6&back=&CLGAKOCD=033840&mxorder=&gakubunm=&gakkanm=&From=portal ｜ VideoUEC: https://www.youtube.com/watch?v=9ImuHstd8pw／https://www.youtube.com/watch?v=gSjk116Iweg／https://www.youtube.com/shorts/wzrb6pxzafc ｜ 出身地・ゆかりの地: 神奈川県／関東地方 ｜ 画像: https://www.uec.ac.jp/arc/images/hiroyuki_kajimoto.jpg ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21124107.html,,6
Ⅰ類（情報系）,メディア情報学プログラム,木村 航平 研究室,木村 航平,1台で多様な形態に変化できるロボット／ロボット／形態変化／制御／情報工学／機械工学／電気・電子工学,調布,,東2号館607,http://www.robo.lab.uec.ac.jp/,,専攻: 情報学専攻｜機械知能システム学専攻 ｜ ラボガイド番号: Ⅰ類-07(Ⅱ類-72) ｜ ラボガイド更新: 2025-07-03 ｜ 本文: 実世界の様々な環境にロボットが適応していくために、1台で多様な形態に変化できるロボットの研究に取り組んでいます。人間が2本の脚を巧みに使って階段を登ったり、長距離を効率よく移動するために乗り物を活用するように、ロボットにおいても様々な形態へと遷移できる能力は重要になります。また、ロボットは人間では難しいバランスが要求される形態にも変化できる能力を秘めています。 ｜ 画像: https://www.uec.ac.jp/arc/images/kimura_kohei.png ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21124213.html,,7
Ⅰ類（情報系）,メディア情報学プログラム,工藤 俊亮 研究室,工藤 俊亮,器用に賢く動くロボット／ロボット／人間行動観察／コンピュータビジョン／情報科学／情報工学／機械工学,調布,,東2号館605,http://www.robo.lab.uec.ac.jp/,,専攻: 情報学専攻｜機械知能システム学専攻 ｜ ラボガイド番号: Ⅰ類-08(Ⅱ類-73) ｜ ラボガイド更新: 2025-07-03 ｜ 本文: ロボットが我々の日常生活を賢く支援するために必要な技術を研究しています。例えば、ひもや紙などの柔軟物を器用に操作したり、人の行う複雑な作業を代替したり、人の行動を予測して賢く動いたりといったものです。具体的な研究テーマとしては、ひもを結んだり折り紙を折ったりするロボット、料理をするロボット、対戦相手を楽しませるエアホッケーロボットなどがあります。 ｜ 画像: https://www.uec.ac.jp/arc/images/shunsuke_kudoh.jpg ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/33/33_25023209.html,,8
Ⅰ類（情報系）,メディア情報学プログラム,小泉 直也 研究室,小泉 直也,実空間におけるデジタル表現技術の研究／バーチャルリアリティ／ヒューマンコンピュータインタラクション／コンピュータグラフィックス／情報工学／映像・光工学,調布,,西3号館506,https://www.media.lab.uec.ac.jp/,,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-09 ｜ ラボガイド更新: 2025-07-03 ｜ 本文: 新しいデジタル表現技術の開拓にとりくんでいます。SF映画に出てくる空中映像の技術を使った新しい映像体験の実現や、光で特性が変化する素材を用いたデジタル表現の構築を行っています。新しいデジタル表現技術によって、フィクションで描かれた体験を越えた未知の体験のデザインを実現します。 ｜ 学生へのメッセージ: 「まずやってみる」を繰り返すと、自分が実現したいことが見えてくるので、どんどん手を動かしましょう。 ｜ 出張講義: Ⅰ類-2／https://docs.google.com/spreadsheets/d/1uJxsIAV9MO5RpW4ZK4avdf7bVvsVnyvn/edit?gid=905872286#gid=905872286&range=A6 ｜ VideoUEC: https://ipsj-one.org/2023/videos/ipsjone2023_each_talk_light/speaker14_koizumi_light.mp4／https://www.youtube.com/channel/UCWZmSka6pSaQKZR87EACqPw ｜ 追加URL: https://sites.google.com/gl.cc.uec.ac.jp/uecvr/home ｜ 出身地・ゆかりの地: 栃木県／関東地方 ｜ 出身地の自慢: 栃木自慢「餃子像があり、レモン牛乳が名物です。尖っていること･ユニークであることを良しとする文化です。」 ｜ 困り事・あるある: あるある「餃子だけと言われることもあります。でも紅茶･カクテル･ジャズ・大谷石でも有名な街です。あと街コン発祥の地だそうです。」 ｜ 趣味・特技・最近見たもの: 石津 智大. 神経美学: 美と芸術の脳科学. 共立出版. 2019 / 感想：知的刺激にあふれていて興奮しました。 ｜ 抱負: 心理学 ｜ 画像: https://www.uec.ac.jp/arc/images/naoya_koizumi.jpg ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21124303.html ｜ 居室の別表記あり(小泉 直也): 西5号館506,,9
Ⅰ類（情報系）,メディア情報学プログラム,児玉 幸子 研究室,児玉 幸子,新素材やコンピュータ制御によるメディアアート／メディアアート／映像／インタラクションデザイン／情報工学／映像・光工学,調布,,西6号館411,http://www.kodamalab.hc.uec.ac.jp/,,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-10 ｜ ラボガイド更新: 2025-07-03 ｜ 本文: メディアアート、デザインに新素材や情報技術を応用する研究に取り組んでいます。ナノサイズの強磁性微粒子が溶け込んだ磁性流体を用いるアートは世界20ヵ国で展示されています。小型モーションセンサーシステムの構築とそれを用いた作品の発表、市民向けワークショップなど、多彩な活動を通して人の心に感動をもたらす作品の創造と方法論の確立を目指しています。 ｜ VideoUEC: https://www.youtube.com/watch?v=GEeubZ0pMp4 ｜ 出身地・ゆかりの地: 静岡県／中部地方 ｜ 出身地の自慢: 静岡自慢「駿河湾が深くて、あるときリュウグウノツカイが打ち上げられていました・・」 ｜ 画像: https://www.uec.ac.jp/arc/images/sachiko_kodama.jpg ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/32/32_22023102.html,,10
