学部,学科,研究室名,所属教員,号館・部屋,公式HP,備考
Ⅰ類（情報系）,メディア情報学プログラム,江木 啓訓 研究室,江木 啓訓,西3号館315,https://egi.inf.uec.ac.jp/,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-01 ｜ ラボガイド更新: 2025-07-03 ｜ VideoUEC: https://www.youtube.com/shorts/A5YpiZBfvH4 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 研究室HP https://egi.inf.uec.ac.jp/contact/index.html
Ⅰ類（情報系）,メディア情報学プログラム,大河原 一憲 研究室,大河原 一憲,東1号館409,http://www.ohkawara.lab.uec.ac.jp/,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-02 ｜ ラボガイド更新: 2025-07-03 ｜ 出張講義: Ⅰ類-1／https://docs.google.com/spreadsheets/d/1uJxsIAV9MO5RpW4ZK4avdf7bVvsVnyvn/edit?gid=905872286#gid=905872286&range=A4 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21014201.html
Ⅰ類（情報系）,メディア情報学プログラム,清 雄一 研究室,清 雄一,西10号館729,http://www.sei.lab.uec.ac.jp,専攻: 情報学専攻｜機械知能システム学専攻 ｜ ラボガイド番号: Ⅰ類-03(Ⅱ類-63) ｜ ラボガイド更新: 2025-10-15 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21124240.html
Ⅰ類（情報系）,メディア情報学プログラム,織田 健 研究室,織田 健,東3号館819,http://www.tolab.inf.uec.ac.jp/,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-04 ｜ ラボガイド更新: 2025-07-03 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 研究室HP https://www.tolab.inf.uec.ac.jp/
Ⅰ類（情報系）,メディア情報学プログラム,柏原 昭博 研究室,柏原 昭博,西3号館301,https://wlgate.inf.uec.ac.jp/,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-05 ｜ ラボガイド更新: 2025-07-03 ｜ 夢ナビ: https://douga.yumenavi.info/Lecture/PublishDetail/2019244330?back= ｜ VideoUEC: https://www.youtube.com/watch?v=6ONLu_h60_g／https://www.youtube.com/shorts/zK8hHr2lqpU ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21124102.html
Ⅰ類（情報系）,メディア情報学プログラム,梶本 裕之 研究室,梶本 裕之,西3号館406,https://kaji-lab.jp/,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-06 ｜ ラボガイド更新: 2025-07-03 ｜ 出張講義: https://docs.google.com/spreadsheets/d/1uJxsIAV9MO5RpW4ZK4avdf7bVvsVnyvn/edit?gid=905872286#gid=905872286&range=A5 ｜ 夢ナビ: https://yumenavi.info/vue/lecture.html?University=V&SearchMod=4&SerKbn=3&ProId=WNF026&Page=1&GNKCD=g005656&KeyWord=%E9%9B%BB%E6%B0%97%E9%80%9A%E4%BF%A1%E5%A4%A7%E5%AD%A6&back=&CLGAKOCD=033840&mxorder=&gakubunm=&gakkanm=&From=portal ｜ VideoUEC: https://www.youtube.com/watch?v=9ImuHstd8pw／https://www.youtube.com/watch?v=gSjk116Iweg／https://www.youtube.com/shorts/wzrb6pxzafc ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21124107.html
Ⅰ類（情報系）,メディア情報学プログラム,木村 航平 研究室,木村 航平,東2号館607,http://www.robo.lab.uec.ac.jp/,専攻: 情報学専攻｜機械知能システム学専攻 ｜ ラボガイド番号: Ⅰ類-07(Ⅱ類-72) ｜ ラボガイド更新: 2025-07-03 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21124213.html
Ⅰ類（情報系）,メディア情報学プログラム,工藤 俊亮 研究室,工藤 俊亮,東2号館605,http://www.robo.lab.uec.ac.jp/,専攻: 情報学専攻｜機械知能システム学専攻 ｜ ラボガイド番号: Ⅰ類-08(Ⅱ類-73) ｜ ラボガイド更新: 2025-07-03 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/33/33_25023209.html
Ⅰ類（情報系）,メディア情報学プログラム,小泉 直也 研究室,小泉 直也,西3号館506,https://www.media.lab.uec.ac.jp/,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-09 ｜ ラボガイド更新: 2025-07-03 ｜ 出張講義: Ⅰ類-2／https://docs.google.com/spreadsheets/d/1uJxsIAV9MO5RpW4ZK4avdf7bVvsVnyvn/edit?gid=905872286#gid=905872286&range=A6 ｜ VideoUEC: https://ipsj-one.org/2023/videos/ipsjone2023_each_talk_light/speaker14_koizumi_light.mp4／https://www.youtube.com/channel/UCWZmSka6pSaQKZR87EACqPw ｜ 追加URL: https://sites.google.com/gl.cc.uec.ac.jp/uecvr/home ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 研究室HP https://www.media.lab.uec.ac.jp/?page_id=33
Ⅰ類（情報系）,メディア情報学プログラム,児玉 幸子 研究室,児玉 幸子,西6号館411,http://www.kodamalab.hc.uec.ac.jp/,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-10 ｜ ラボガイド更新: 2025-07-03 ｜ VideoUEC: https://www.youtube.com/watch?v=GEeubZ0pMp4 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 研究室HP https://www.kodamalab.hc.uec.ac.jp/contact.html
